Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,China,CHN,12.049,10.887,10.747,10.236,8.691,8.277,6.737,5.996,5.463,5.227,5.202
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,India,IND,28.806,18.194,14.535,15.166,15.133,14.796,14.423,14.289,14.185,14.06,13.036
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Brazil,BRA,63.365,61.779,58.372,56.558,54.287,50.958,47.46,45.67,42.881,42.686,41.459
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,China,CHN,..,..,..,..,..,..,..,..,..,..,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,India,IND,..,..,..,..,..,..,..,..,..,..,2600000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Brazil,BRA,660000,710000,770000,820000,870000,920000,970000,1000000,1100000,1100000,1100000
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,China,CHN,..,..,..,..,..,..,..,..,..,..,..
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,India,IND,..,..,..,..,..,..,..,..,..,..,64000
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,Brazil,BRA,65000,67000,68000,69000,69000,68000,66000,64000,62000,58000,55000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,China,CHN,..,..,..,..,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,India,IND,..,..,..,..,..,..,..,..,..,..,2500000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,China,CHN,..,..,..,..,..,..,..,..,..,..,..
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,India,IND,..,..,..,..,..,..,..,..,..,..,..
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,China,CHN,..,24.8,25.4,..,..,..,..,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,India,IND,..,..,21.4,..,..,..,..,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,China,CHN,..,26.9,27.1,..,..,..,..,..,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,India,IND,..,..,26,..,..,..,..,..,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,China,CHN,38.8789249288739,39.6093613191235,40.4406557797685,41.5109449386089,42.5408726929072,43.3873633674887,44.0923748389161,44.4827701882176,44.7256128180315,44.7297141014082,44.2441142865473
